student_id,semantic_fatigue_score,help_seeking_drop_pct,forum_sentiment,lms_logins,assignment_delay_days,peer_contagion_risk,final_burnout_score,risk_stage
0,0.354,15.6,0.14,12,7.0,11.13,31.7,Stage 1: Stable
1,0.487,30.4,-0.26,10,0.7,11.89,32.9,Stage 1: Stable
2,0.111,45.6,-0.31,10,0.1,10.56,25.5,Stage 1: Stable
3,0.424,68.4,0.47,9,1.4,10.93,37.3,Stage 2: Drifting
4,0.543,54.7,0.11,15,0.4,12.35,46.3,Stage 2: Drifting
5,0.523,82.9,-0.79,9,1.6,10.73,62.1,Stage 2: Drifting
6,0.353,77.2,0.29,12,0.2,11.18,42.0,Stage 2: Drifting
7,0.595,31.1,0.55,8,2.0,11.7,34.9,Stage 1: Stable
8,0.18,76.1,0.75,10,1.1,10.36,34.2,Stage 1: Stable
9,0.491,90.8,0.52,7,2.8,11.3,57.8,Stage 2: Drifting
10,0.184,63.3,0.13,7,1.6,11.25,37.0,Stage 2: Drifting
11,0.343,22.8,0.34,9,3.9,10.76,29.0,Stage 1: Stable
12,0.286,12.0,0.23,8,2.4,10.45,30.1,Stage 1: Stable
13,0.24,28.5,-0.84,10,0.7,8.93,33.3,Stage 1: Stable
14,0.211,98.6,0.38,13,2.6,11.29,51.3,Stage 2: Drifting
15,0.064,9.0,0.7,14,0.4,11.01,9.0,Stage 1: Stable
16,0.329,51.2,0.32,9,0.3,12.07,40.1,Stage 2: Drifting
17,0.119,81.7,0.28,10,0.6,11.43,44.1,Stage 2: Drifting
18,0.236,72.6,0.31,5,4.6,11.89,52.8,Stage 2: Drifting
19,0.428,65.2,-0.61,7,0.5,10.06,46.8,Stage 2: Drifting
20,0.54,65.8,-0.43,9,0.6,12.02,50.7,Stage 2: Drifting
21,0.214,79.5,-0.12,10,1.4,10.48,49.1,Stage 2: Drifting
22,0.461,64.5,-0.06,14,1.0,11.38,46.9,Stage 2: Drifting
23,0.489,93.6,-0.26,12,0.2,10.69,56.3,Stage 2: Drifting
24,0.401,69.7,-0.48,8,3.3,11.02,51.9,Stage 2: Drifting
25,0.469,79.8,0.44,11,3.2,11.66,58.8,Stage 2: Drifting
26,0.166,57.8,-0.02,10,1.8,11.1,42.4,Stage 2: Drifting
27,0.263,77.0,-0.17,7,0.2,10.53,43.0,Stage 2: Drifting
28,0.337,72.6,0.01,8,0.6,11.0,40.8,Stage 2: Drifting
29,0.419,15.6,0.83,7,2.5,10.36,20.9,Stage 1: Stable
30,0.069,55.4,-0.66,7,2.8,11.37,43.0,Stage 2: Drifting
31,0.562,49.2,0.94,10,1.1,10.36,36.8,Stage 2: Drifting
32,0.684,37.5,0.03,14,0.4,10.78,38.7,Stage 2: Drifting
33,0.619,94.0,0.03,11,2.1,11.31,55.8,Stage 2: Drifting
34,0.037,31.9,-0.31,14,3.4,10.5,31.5,Stage 1: Stable
35,0.2,87.7,0.41,8,2.8,10.54,48.7,Stage 2: Drifting
36,0.362,77.6,0.06,14,2.8,11.26,50.8,Stage 2: Drifting
37,0.185,82.6,0.34,9,4.7,12.16,47.3,Stage 2: Drifting
38,0.194,57.3,-0.07,11,0.7,11.15,30.6,Stage 1: Stable
39,0.598,79.0,-0.01,9,0.9,11.19,51.5,Stage 2: Drifting
40,0.119,10.1,-0.28,5,0.2,11.16,25.4,Stage 1: Stable
41,0.268,98.7,-0.72,9,3.0,10.44,55.1,Stage 2: Drifting
42,0.06,49.3,-0.08,3,0.3,10.82,37.7,Stage 2: Drifting
43,0.374,37.5,0.35,11,1.2,12.33,34.2,Stage 1: Stable
44,0.15,28.1,0.09,10,0.6,12.59,17.9,Stage 1: Stable
45,0.389,7.8,0.17,8,2.3,12.42,31.8,Stage 1: Stable
46,0.698,86.6,0.92,3,0.9,13.19,55.0,Stage 2: Drifting
47,0.437,84.2,-0.06,9,0.1,10.02,47.0,Stage 2: Drifting
48,0.45,94.5,0.02,14,1.2,10.76,59.5,Stage 2: Drifting
49,0.071,35.8,0.17,10,1.5,11.17,22.3,Stage 1: Stable
50,0.076,40.3,0.88,6,2.8,12.56,26.9,Stage 1: Stable
51,0.393,1.5,0.53,9,4.7,11.39,27.6,Stage 1: Stable
52,0.03,62.2,0.04,10,1.2,10.68,30.9,Stage 1: Stable
53,0.229,24.0,0.18,7,4.5,11.5,39.5,Stage 2: Drifting
54,0.203,4.1,0.25,6,0.4,10.4,20.9,Stage 1: Stable
55,0.089,69.0,-0.35,4,3.3,8.77,36.7,Stage 2: Drifting
56,0.352,48.5,-0.29,11,1.2,10.16,42.4,Stage 2: Drifting
57,0.516,53.2,-0.06,10,0.6,10.02,52.8,Stage 2: Drifting
58,0.173,89.1,-0.54,11,3.1,14.28,64.6,Stage 2: Drifting
59,0.142,74.5,-0.52,8,2.1,11.26,42.7,Stage 2: Drifting
60,0.389,15.3,0.28,7,0.4,11.69,33.9,Stage 1: Stable
61,0.184,52.5,0.14,5,7.0,10.28,48.8,Stage 2: Drifting
62,0.312,66.9,0.38,16,1.7,11.13,34.9,Stage 1: Stable
63,0.498,42.5,-0.81,8,0.3,9.84,47.3,Stage 2: Drifting
64,0.337,13.4,0.02,8,0.6,11.66,29.2,Stage 1: Stable
65,0.351,41.2,0.29,6,5.6,9.42,35.2,Stage 2: Drifting
66,0.226,84.2,-0.08,6,0.5,12.22,49.6,Stage 2: Drifting
67,0.243,52.3,0.44,9,1.2,9.76,42.9,Stage 2: Drifting
68,0.433,50.3,-0.18,9,4.7,10.65,56.7,Stage 2: Drifting
69,0.126,33.5,0.17,11,4.5,10.76,32.7,Stage 1: Stable
70,0.241,74.4,-0.42,8,0.2,7.13,39.9,Stage 2: Drifting
71,0.511,72.2,0.43,12,0.6,12.67,48.2,Stage 2: Drifting
72,0.697,94.7,0.75,6,1.4,10.88,50.7,Stage 2: Drifting
