lms_login_frequency,assignment_delay_days,attendance_percentage,sentiment_score,activity_irregularity_score,dropout_risk_score,burnout_risk_level
9,0.4,77.5,0.55,3.2,35.7,Medium
1,1.9,66.2,-0.44,7.3,85.7,High
5,6.5,51.3,-0.71,10.0,100.0,High
12,1.3,58.5,0.11,2.9,41.7,Medium
19,0.0,99.6,0.45,0.3,3.9,Low
16,1.4,90.0,0.76,3.2,12.7,Low
13,0.0,98.2,0.67,1.1,10.1,Low
4,2.8,50.1,-0.31,8.0,72.4,High
4,0.1,74.4,-0.17,4.3,56.3,Medium
1,3.0,71.8,0.05,6.8,65.8,Medium
9,0.1,98.0,0.76,2.9,14.2,Low
3,1.9,63.7,-0.51,8.9,88.1,High
3,3.6,54.0,-0.38,7.3,82.5,High
16,0.4,87.5,0.89,2.3,16.1,Low
21,0.1,85.0,0.47,2.2,17.5,Low
17,0.1,89.2,0.92,2.6,4.0,Low
5,0.3,80.1,-0.21,7.5,46.4,Medium
2,3.4,81.9,0.02,6.7,64.7,Medium
12,3.2,73.9,0.02,2.7,37.3,Medium
17,1.9,96.1,0.5,3.1,17.5,Low
9,0.1,73.1,-0.57,4.3,42.2,Medium
14,0.4,98.4,0.8,3.7,9.8,Low
14,0.0,95.4,0.85,1.9,7.2,Low
13,4.0,68.9,-0.01,1.7,48.5,Medium
8,3.9,67.4,-0.18,4.4,55.7,Medium
3,2.0,53.2,-0.35,8.0,79.8,High
11,0.3,85.1,0.8,1.9,15.1,Low
4,2.9,73.7,0.28,2.4,66.4,Medium
12,0.7,69.6,-0.47,3.8,43.3,Medium
10,0.4,85.7,0.37,1.7,23.9,Low
8,0.4,75.4,0.17,7.8,46.5,Medium
12,0.4,84.1,0.53,4.5,27.1,Low
12,0.6,91.4,0.6,0.4,22.8,Low
3,2.8,54.2,-0.05,8.4,84.9,High
3,3.5,56.6,0.16,8.5,77.0,High
3,10.1,71.3,-0.31,7.2,91.8,High
12,2.3,82.5,-0.27,2.6,31.7,Low
13,0.2,87.0,0.41,1.9,21.3,Low
9,1.8,68.4,0.2,4.8,53.7,Medium
5,1.9,66.6,0.04,3.5,51.7,Medium
11,0.6,87.1,0.35,2.3,25.7,Low
9,0.9,66.0,0.34,5.2,43.6,Medium
13,0.7,94.7,0.48,1.5,7.5,Low
5,12.3,59.7,-0.69,6.3,98.1,High
15,0.4,90.9,0.79,2.3,22.9,Low
4,1.4,65.8,-0.25,3.4,58.6,Medium
12,1.5,75.8,-0.1,4.8,36.8,Medium
6,0.3,75.6,0.32,3.5,42.1,Medium
6,0.6,71.8,-0.19,5.9,54.0,Medium
16,0.6,91.6,0.49,2.8,9.1,Low
3,13.3,62.6,-0.35,9.3,100.0,High
4,0.2,65.8,-0.64,7.6,77.1,High
1,3.2,57.0,-0.32,8.3,74.9,High
2,3.2,68.7,-0.83,9.3,89.7,High
4,1.8,60.8,-0.67,5.3,67.6,Medium
5,4.0,52.9,-0.15,8.6,69.4,Medium
9,0.4,87.5,0.5,3.1,30.9,Low
16,0.2,95.5,0.26,2.7,22.2,Low
16,0.6,87.1,0.37,2.9,21.1,Low
10,2.8,71.3,0.23,2.9,48.6,Medium
6,1.4,78.4,-0.17,6.3,55.1,Medium
10,0.1,92.4,0.42,3.5,28.8,Low
4,1.7,63.7,-1.0,8.3,77.3,High
10,0.4,70.4,-0.08,7.0,46.1,Medium
10,0.5,87.6,0.81,2.5,33.7,Low
10,2.4,80.9,-0.19,5.3,45.8,Medium
21,0.5,81.4,0.21,3.1,19.2,Low
5,0.3,59.1,-0.57,9.4,76.0,High
12,0.0,97.2,0.31,2.3,17.1,Low
3,0.6,62.9,-0.67,8.9,69.0,Medium
4,19.0,49.0,-0.59,8.8,100.0,High
13,0.2,90.1,0.62,0.8,12.5,Low
12,0.0,91.0,0.4,2.0,23.5,Low
4,2.2,48.9,-0.44,8.5,69.6,Medium
7,4.6,43.4,0.05,7.3,73.2,High
3,16.1,69.4,-0.65,8.1,97.4,High
2,2.7,50.5,0.02,7.1,81.8,High
19,0.1,93.2,0.34,1.7,19.0,Low
11,5.0,73.2,0.42,6.0,59.6,Medium
15,0.3,91.4,0.57,2.4,12.8,Low
3,2.4,57.5,-0.74,9.5,83.2,High
7,8.3,65.1,0.29,3.6,70.2,High
10,0.6,82.2,0.34,4.0,29.8,Low
12,0.1,89.6,0.65,3.0,22.6,Low
5,0.7,85.3,-0.19,4.4,54.9,Medium
13,6.1,94.1,0.36,6.1,43.8,Medium
2,3.9,54.2,-1.0,8.2,90.0,High
8,6.6,68.7,0.01,3.0,65.7,Medium
6,4.0,46.3,-0.47,9.1,83.1,High
5,2.5,77.0,-0.24,6.8,59.8,Medium
12,0.1,93.4,0.68,1.0,15.4,Low
2,7.1,55.2,-0.79,8.6,100.0,High
4,3.4,57.8,-0.41,6.3,70.9,High
7,6.0,67.9,-0.16,2.2,60.9,Medium
0,2.0,76.5,0.05,7.2,59.1,Medium
8,1.1,69.6,0.35,2.9,43.3,Medium
9,0.4,68.2,-0.0,4.9,46.9,Medium
9,0.0,75.4,0.45,3.8,32.6,Low
12,0.7,86.0,0.62,2.7,22.2,Low
17,0.3,85.9,0.54,2.3,17.7,Low
11,0.3,92.7,0.63,3.2,33.6,Low
3,2.7,69.6,0.12,4.6,63.6,Medium
7,0.3,76.2,-0.16,9.6,64.0,Medium
6,7.0,69.5,0.29,6.5,78.2,High
4,9.2,47.3,-0.02,8.2,100.0,High
12,0.3,90.0,0.47,1.7,14.8,Low
9,0.9,77.1,-0.25,4.2,51.4,Medium
4,9.3,68.5,-0.11,9.7,94.5,High
18,0.1,93.3,0.78,1.9,4.7,Low
11,0.0,95.5,0.16,3.5,30.8,Low
19,0.1,89.1,0.64,2.4,13.1,Low
9,0.5,92.9,0.56,2.1,21.3,Low
3,9.3,59.9,-0.64,9.5,100.0,High
4,17.0,43.7,-0.55,8.5,100.0,High
9,3.0,66.9,-0.63,2.8,49.3,Medium
5,1.6,56.4,-0.42,9.9,81.1,High
0,4.8,85.1,-0.31,7.3,76.9,High
14,0.0,93.6,1.0,2.8,5.9,Low
1,3.1,45.2,-0.75,9.3,100.0,High
7,1.5,75.6,-0.15,1.8,55.6,Medium
2,3.1,53.1,-0.98,10.0,87.7,High
2,8.9,42.6,-0.12,8.7,100.0,High
8,2.7,79.0,-0.51,4.7,50.9,Medium
18,2.3,89.9,0.24,1.3,11.6,Low
20,1.0,83.9,0.38,2.7,21.1,Low
6,4.9,75.3,0.48,5.0,59.2,Medium
1,2.9,47.3,-0.23,9.6,92.5,High
6,0.7,37.7,-0.43,8.1,73.4,High
15,0.4,80.9,0.46,0.6,24.0,Low
